location_name,final_lat,final_long,source,country,state/province,county,city/town,ward,suburb/village,street,house number,postal code
Makanjira Health Centre,-13.7153,35.0469,Google,Malawi,Southern Region,Mangochi,Makanjila,,,,,
Malembo Health Centre,-14.2364,34.8254,Google,Malawi,Southern Region,Mangochi,,,,,,
Malukula Health Centre,-14.4427,35.3555,HDX,Malawi,Southern Region,Mangochi,Mangochi,,,,,
Mase Health Centre,-14.5806,35.3639,HDX,Malawi,Southern Region,Mangochi,Chiutula,,,,,
Mchoka Health Centre,-13.9260913,34.4898215,Google,Malawi,Central Region,Salima,Lifisi,,,,,
Monkey Bay Health Centre,-14.085,34.9108,Google,Malawi,Southern Region,Mangochi,Monkey Bay,,,,,
Mpondasi Health Centre,-14.4533,35.2442,Google,Malawi,Southern Region,Mangochi,Mangochi,,,,,
Namalaka Health Centre,-14.1239156,35.1930627,Google,Malawi,Southern Region,Mangochi,Kadango,,,,,
Namwera Health Centre,-14.3639861,35.5024494,OSM,Malawi,Southern Region,Mangochi,Namwera,,,,,
Nangalamu Health Centre,-14.4681,35.6731,HDX,Malawi,Southern Region,Mangochi,Budu,,,,,
Nankhwali Health Centre,-14.1351,34.84488,Google,Malawi,Southern Region,Mangochi,Nankhwali,,,,,
Ngodzi Health Centre,-14.0898452,34.511153,Google,Malawi,Central Region,Salima,,,,,,
Nkope Health Centre,-14.1971,35.0395,HDX,Malawi,Southern Region,Mangochi,Nkope Mission,,,,,
Phirilongwe Health Centre,-14.5879012,34.8988154,Google,Malawi,Southern Region,Mangochi,Makunula,,,,,
St Martin Hospital,-14.3472979,35.293978,Google,Malawi,Southern Region,Mangochi,Malindi,,,,,
Bilila Health Centre,-14.82489,34.85134,HDX,Malawi,Central Region,Ntcheu,Ciraldata,,,,,
Biriwiri Health Centre,-14.7606778,34.5575257,Google,Malawi,Central Region,Ntcheu,Ntcheu,,,,,
Daeyang Luke Hospital,-13.87609,33.80873,ArcGIS,Malawi,Central Region,Lilongwe,Lilongwe,,,,,
David Livingstone Memoria,-13.98173,33.78813,HDX,Malawi,Central Region,Lilongwe,Lilongwe,,,,,
Kadidi health centre,-15.6606573,35.0225412,Google,Malawi,Southern Region,Blantyre,Lunzu,,,,,
Kasinje Health Center,-14.52315,34.67642,HDX,Malawi,Central Region,Ntcheu,Kasinje,,,T382,,
Lobi Health Center,-14.39034,34.07182,HDX,Malawi,Central Region,Dedza,Lobi,,,,,
Makhetha health centre,-15.7812472,35.072488,Google,Malawi,Southern Region,Blantyre,Blantyre,,,,,
Masenjere Health Centre,-16.33721,35.09671,HDX,Malawi,Southern Region,Nsanje,Thekerani,,,,,
Mbiza Health Centre,-16.092856,35.3462355,Google,Malawi,Southern Region,Mulanje,Luchenza,,,,,
Mdeka Health Centre,-15.4679487,34.9425448,Google,Malawi,Southern Region,Blantyre,,,,,,
Mimosa Dispensary,-16.08574,35.61263,HDX,Malawi,Southern Region,Mulanje,,,,,,
Mpala Health Centre,-16.14386,35.52479,HDX,Malawi,Southern Region,Mulanje,,,,,,
Mulanje District Hospital,-16.02549,35.50785,HDX,Malawi,Southern Region,Mulanje,Mulanje,,,,,
Mulanje Mission Hospital,-16.02103,35.46436,HDX,Malawi,Southern Region,Mulanje,Mulanje,,,,,
Mulomba Health Centre,-15.76535,35.51182,HDX,Malawi,Southern Region,Phalombe,,,,,,
Muloza Heath Centre,-16.08016,35.71573,HDX,Malawi,Southern Region,Mulanje,,,,,,
Mwanza District Hospital,-15.591091,34.5108653,Google,Malawi,Southern Region,Mwanza,Mwanza,,,,,
Nsipe Rural Hospital,-14.86434,34.75233,HDX,Malawi,Central Region,Ntcheu,Malikholeni,,,,,
Trinity Hospital,-16.4187732,35.1715276,Google,Malawi,Southern Region,Nsanje,Muona,,,,,
Chirimba city clinic,-15.738968,35.025505,Reverse Geocoding,Malawi,Southern Region,Blantyre,Blantyre,,,,,
Bilila Health Centre,-14.82489,34.85134,HDX,Malawi,Central Region,Ntcheu,Ciraldata,,,,,
Biriwiri Health Centre,-14.7606778,34.5575257,Google,Malawi,Central Region,Ntcheu,Ntcheu,,,,,
Daeyang Luke Hospital,-13.87609,33.80873,ArcGIS,Malawi,Central Region,Lilongwe,Lilongwe,,,,,
David Livingstone Memoria,-13.98173,33.78813,HDX,Malawi,Central Region,Lilongwe,Lilongwe,,,,,
Kadidi health centre,-15.6606573,35.0225412,Google,Malawi,Southern Region,Blantyre,Lunzu,,,,,
Kasinje Health Center,-14.52315,34.67642,HDX,Malawi,Central Region,Ntcheu,Kasinje,,,T382,,
Lobi Health Center,-14.39034,34.07182,HDX,Malawi,Central Region,Dedza,Lobi,,,,,
Makhetha health centre,-15.7812472,35.072488,Google,Malawi,Southern Region,Blantyre,Blantyre,,,,,
Masenjere Health Centre,-16.33721,35.09671,HDX,Malawi,Southern Region,Nsanje,Thekerani,,,,,
Mbiza Health Centre,-16.092856,35.3462355,Google,Malawi,Southern Region,Mulanje,Luchenza,,,,,
Mdeka Health Centre,-15.4679487,34.9425448,Google,Malawi,Southern Region,Blantyre,,,,,,
Mimosa Dispensary,-16.08574,35.61263,HDX,Malawi,Southern Region,Mulanje,,,,,,
Mpala Health Centre,-16.14386,35.52479,HDX,Malawi,Southern Region,Mulanje,,,,,,
Mulanje District Hospital,-16.02549,35.50785,HDX,Malawi,Southern Region,Mulanje,Mulanje,,,,,
Mulanje Mission Hospital,-16.02103,35.46436,HDX,Malawi,Southern Region,Mulanje,Mulanje,,,,,
Mulomba Health Centre,-15.76535,35.51182,HDX,Malawi,Southern Region,Phalombe,,,,,,
